site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
US-Ced,39.8379,-74.3791,58,CSH,Cfa,1138,AmeriFlux_BASE,YES,,FC_1_1_1 + SC_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_1_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO,NETRAD_1_1_1,NETRAD,TS_measured,,,reconstructed
US-Oho,41.5545,-83.8438,230,DBF,Dfa,849,AmeriFlux_BASE,NO,,FC + SC,,TA_1_1_1,TS_1_1_1,SWC,SW_IN,USTAR,RH_1_1_1,,,,,NO,,,TS_measured,,,sensor
US-Slt,39.9138,-74.596,30,DBF,Dfa,1138,AmeriFlux_BASE,NO,,NEE_PI_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO,,,TS_measured,,,sensor
US-Wrc,45.8205,-121.9519,371,ENF,Csb,2452,AmeriFlux_BASE,NO,,FC,,TA,TS_1,SWC_1,SW_IN,USTAR,RH,,we confined growing season because of data measurements,90,270,NO,,,TS_measured,,,sensor
AU-Tum,-35.6566,148.1517,1200,EBF,Cfb,1159.01,TERN,NO,,,,,,,,,,,,,380,YES,,,TS_measured,,183,sensor
BE-Bra,51.3076,4.5198,16,MF,Cfb,750,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_linear,ac,,sensor
BE-Vie,50.3049,5.9981,493,MF,Cfb,1062,FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
CH-Lae,47.4783,8.3644,689,MF,Cfb,1100,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_linear,ac,,sensor
CZ-BK1,49.5021,18.5369,875,ENF,Dfb,1316,FLUXNET+ICOS,NO,,,,,,,,,,,,91,,YES,,,TS_measured,,,sensor
CZ-wet,49.0247,14.7704,426,WET,Dfb,604,FLUXNET+ICOS,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
DE-Gri,50.95,13.5126,385,GRA,Cfb,901,FLUXNET,NO,,,,,,,,,,,,,,NO,,,TS_measured,,,sensor
DE-Hai,51.0792,10.4522,430,DBF,Cfb,720,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
DE-Tha,50.9626,13.5651,385,ENF,Cfb,843,FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
DK-Sor,55.4859,11.6446,40,DBF,Cfb,660,FLUXNET+ICOS,NO,1999,,,,,,,,,,1999 no SWC data,,,YES,,,TS_measured,,,sensor
FI-Hyy,61.8474,24.2948,181,ENF,Dfc,709,FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
